seller_persona,buyer_persona,phase,n_rounds,deal_rate,mean_final_price,mean_seller_cg,sd_seller_cg,mean_buyer_cg,sd_buyer_cg,deviation_from_fair,mean_seller_syc
AP,AP,1,20,0.9,239.5,92.53333333333333,16.937587530254397,57.516666666666666,15.72812692624863,60.5,
AP,AP,2,20,0.7,251.92857142857142,79.11666666666666,12.659866595751403,62.18333333333334,22.946282298991907,48.07142857142857,0.2
AP,WA,1,20,1.0,258.35,,0,,0,41.65,
AP,WA,2,20,0.8,251.6875,87.1,13.686592235379258,27.25,19.232305606644474,48.3125,1.0
WA,WA,1,20,1.0,255.8,,0,,0,44.2,
WA,WA,2,20,0.95,244.3684210526316,60.08333333333333,11.09916755742683,16.71666666666667,12.90145963907625,55.63157894736842,1.0
WA,IC,1,20,1.0,215.85,93.1,11.717483313607849,45.35,7.291327059760633,84.15,
WA,IC,2,20,1.0,208.0,86.26666666666667,16.254050327434808,28.483333333333334,11.389681900789396,92.0,0.4
IC,IC,1,20,1.0,260.7,87.85,7.222831733164913,63.3,7.5074232269648915,39.3,
IC,IC,2,20,1.0,253.1,78.13333333333333,6.728137651483501,46.766666666666666,17.398359807079753,46.9,0.0
IC,TD,1,20,1.0,295.775,74.85833333333333,3.4553437723033174,62.94166666666666,12.973350439937516,11.925,
IC,TD,2,20,1.0,286.75,74.21666666666667,6.610531204602058,38.38333333333333,16.026759421163707,19.25,0.5
TD,AP,1,20,0.95,239.94736842105263,67.38333333333334,20.455135616744645,58.96666666666667,11.087583276980455,60.05263157894737,
TD,AP,2,20,0.9,210.11111111111111,69.6,11.654680559645055,35.7,24.62583153819112,89.88888888888889,0.35
TD,TD,1,20,1.0,251.75,71.63333333333334,15.017689374602433,46.016666666666666,10.304416245088648,48.25,
TD,TD,2,20,1.0,246.85,60.31666666666667,7.959308060084219,29.083333333333332,13.65141425315015,53.15,0.1
